,ID,campeonato,data,mandante,visitante
4612,4613,12,20/4/2014,Atletico-MG,Corinthians
4652,4653,12,18/5/2014,Vitoria,Palmeiras
4657,4659,12,21/5/2014,Cruzeiro,Sport
4679,4681,12,28/5/2014,Goias,Vitoria
4727,4739,12,2/8/2014,Vitoria,Gremio
4784,4795,12,31/8/2014,Goias,Athletico-PR
4801,4812,12,10/9/2014,Goias,Flamengo
4842,4853,12,24/9/2014,Fluminense,Gremio
4918,4919,12,1/11/2014,Corinthians,Coritiba
5036,5037,13,6/6/2015,Atletico-MG,Cruzeiro
5127,5128,13,25/7/2015,Gremio,Sport
5148,5149,13,9/8/2015,Athletico-PR,Sport
5173,5174,13,16/8/2015,Sport,Ponte Preta
5206,5207,13,5/9/2015,Sao Paulo,Internacional
5333,5334,13,19/11/2015,Sao Paulo,Atletico-MG
5363,5364,13,6/12/2015,Atletico-MG,Chapecoense
5374,5375,14,15/5/2016,America-MG,Fluminense
5443,5444,14,15/6/2016,Cruzeiro,Flamengo
5485,5486,14,30/6/2016,Atletico-MG,Botafogo-RJ
5649,5650,14,5/10/2016,Santos,Fluminense
5662,5663,14,13/10/2016,Atletico-MG,America-MG
5685,5686,14,24/10/2016,America-MG,Athletico-PR
5701,5702,14,6/11/2016,Palmeiras,Internacional
5823,5824,15,18/6/2017,Sport,Vitoria
5875,5876,15,15/7/2017,Corinthians,Athletico-PR
5929,5931,15,6/8/2017,Coritiba,Chapecoense
5973,5974,15,10/9/2017,Botafogo-RJ,Flamengo
6009,6019,15,11/10/2017,Gremio,Cruzeiro
6061,6062,15,5/11/2017,Gremio,Flamengo
6131,6132,16,15/4/2018,Corinthians,Fluminense
6244,6246,16,18/7/2018,Ceara,Sport
6414,6416,16,20/10/2018,America-MG,Gremio
6516,6517,17,1/5/2019,CSA,Palmeiras
6521,6522,17,1/5/2019,Vasco,Atletico-MG
6573,6574,17,2/6/2019,Internacional,Avai
6601,6603,17,14/7/2019,Cruzeiro,Botafogo-RJ
6648,6650,17,17/8/2019,Gremio,Palmeiras
6782,6783,17,27/10/2019,Sao Paulo,Atletico-MG
6785,6786,17,30/10/2019,Palmeiras,Sao Paulo
6863,6864,17,1/12/2019,Gremio,Sao Paulo
6949,6965,18,3/9/2020,Atletico-MG,Sao Paulo
7143,7146,18,26/12/2020,Atletico-MG,Coritiba
7186,7191,18,20/1/2021,Bragantino,Vasco
7216,7218,18,3/2/2021,Corinthians,Ceara
7226,7229,18,8/2/2021,Botafogo-RJ,Gremio
7242,7215,18,17/2/2021,Santos,Corinthians
7256,7257,18,25/2/2021,Bahia,Santos
7264,7265,18,25/2/2021,Fluminense,Fortaleza
7288,7290,19,13/6/2021,Flamengo,America-MG
7397,7401,19,1/8/2021,Chapecoense,Santos
7447,7450,19,7/9/2021,Chapecoense,Fluminense
7452,7460,19,12/9/2021,Gremio,Ceara
7481,7488,19,2/10/2021,Bragantino,Corinthians
7534,7541,19,24/10/2021,Atletico-MG,Cuiaba
7704,7715,20,15/5/2022,Goias,Santos
7790,7791,20,3/7/2022,Avai,Cuiaba
7837,7838,20,30/7/2022,Corinthians,Botafogo-RJ
7865,7866,20,20/8/2022,Atletico-MG,Goias
7869,7870,20,21/8/2022,Athletico-PR,America-MG
7882,7883,20,28/8/2022,Cuiaba,Santos
7989,7990,20,2/11/2022,America-MG,Internacional
