ID;campeonato;data;mandante;visitante;cartao_amarelo_mandante;cartao_amarelo_visitante;cartao_vermelho_mandante;cartao_vermelho_visitante
4613;12;20/4/2014;Atletico-MG;Corinthians;0;0;0;0
4653;12;18/5/2014;Vitoria;Palmeiras;0;0;0;0
4659;12;21/5/2014;Cruzeiro;Sport;0;0;0;0
4681;12;28/5/2014;Goias;Vitoria;0;0;0;0
4739;12;2/8/2014;Vitoria;Gremio;0;0;0;0
4795;12;31/8/2014;Goias;Athletico-PR;0;0;0;0
4812;12;10/9/2014;Goias;Flamengo;0;0;0;0
4853;12;24/9/2014;Fluminense;Gremio;0;0;0;0
4919;12;1/11/2014;Corinthians;Coritiba;0;0;0;0
5037;13;6/6/2015;Atletico-MG;Cruzeiro;0;0;0;0
5128;13;25/7/2015;Gremio;Sport;0;0;0;0
5149;13;9/8/2015;Athletico-PR;Sport;0;0;0;0
5174;13;16/8/2015;Sport;Ponte Preta;0;0;0;0
5207;13;5/9/2015;Sao Paulo;Internacional;0;0;0;0
5334;13;19/11/2015;Sao Paulo;Atletico-MG;0;0;0;0
5364;13;6/12/2015;Atletico-MG;Chapecoense;0;0;0;0
5375;14;15/5/2016;America-MG;Fluminense;0;0;0;0
5444;14;15/6/2016;Cruzeiro;Flamengo;0;0;0;0
5486;14;30/6/2016;Atletico-MG;Botafogo-RJ;0;0;0;0
5650;14;5/10/2016;Santos;Fluminense;0;0;0;0
5663;14;13/10/2016;Atletico-MG;America-MG;0;0;0;0
5686;14;24/10/2016;America-MG;Athletico-PR;0;0;0;0
5702;14;6/11/2016;Palmeiras;Internacional;0;0;0;0
5824;15;18/6/2017;Sport;Vitoria;0;0;0;0
5876;15;15/7/2017;Corinthians;Athletico-PR;0;0;0;0
5931;15;6/8/2017;Coritiba;Chapecoense;0;0;0;0
5974;15;10/9/2017;Botafogo-RJ;Flamengo;0;0;0;0
6019;15;11/10/2017;Gremio;Cruzeiro;0;0;0;0
6062;15;5/11/2017;Gremio;Flamengo;0;0;0;0
6132;16;15/4/2018;Corinthians;Fluminense;0;0;0;0
6246;16;18/7/2018;Ceara;Sport;0;0;0;0
6416;16;20/10/2018;America-MG;Gremio;0;0;0;0
6517;17;1/5/2019;CSA;Palmeiras;0;0;0;0
6522;17;1/5/2019;Vasco;Atletico-MG;0;0;0;0
6574;17;2/6/2019;Internacional;Avai;0;0;0;0
6603;17;14/7/2019;Cruzeiro;Botafogo-RJ;0;0;0;0
6650;17;17/8/2019;Gremio;Palmeiras;0;0;0;0
6783;17;27/10/2019;Sao Paulo;Atletico-MG;0;0;0;0
6786;17;30/10/2019;Palmeiras;Sao Paulo;0;0;0;0
6864;17;1/12/2019;Gremio;Sao Paulo;0;0;0;0
6965;18;3/9/2020;Atletico-MG;Sao Paulo;0;0;0;0
7146;18;26/12/2020;Atletico-MG;Coritiba;0;0;0;0
7191;18;20/1/2021;Bragantino;Vasco;0;0;0;0
7218;18;3/2/2021;Corinthians;Ceara;0;0;0;0
7229;18;8/2/2021;Botafogo-RJ;Gremio;0;0;0;0
7215;18;17/2/2021;Santos;Corinthians;0;0;0;0
7257;18;25/2/2021;Bahia;Santos;0;0;0;0
7265;18;25/2/2021;Fluminense;Fortaleza;0;0;0;0
7290;19;13/6/2021;Flamengo;America-MG;0;0;0;0
7401;19;1/8/2021;Chapecoense;Santos;2;1;2;0
7450;19;7/9/2021;Chapecoense;Fluminense;0;0;0;0
7460;19;12/9/2021;Gremio;Ceara;0;0;0;0
7488;19;2/10/2021;Bragantino;Corinthians;0;0;0;0
7541;19;24/10/2021;Atletico-MG;Cuiaba;0;0;0;0
7715;20;15/5/2022;Goias;Santos;0;0;0;0
7791;20;3/7/2022;Avai;Cuiaba;0;0;0;0
7838;20;30/7/2022;Corinthians;Botafogo-RJ;0;0;0;0
7866;20;20/8/2022;Atletico-MG;Goias;0;0;0;0
7870;20;21/8/2022;Athletico-PR;America-MG;0;0;0;0
7883;20;28/8/2022;Cuiaba;Santos;0;0;0;0
7990;20;2/11/2022;America-MG;Internacional;0;0;0;0
