Time 1;Time 2;
America-MG;Cruzeiro;
America-MG;Atletico-MG;
Athletico-PR;Coritiba;
Athletico-PR;Parana;
Atletico-GO;Goias;
Atletico-MG;Cruzeiro;
Atletico-MG;America-MG;
Avai;Figueirense;
Avai;Joinville;
Avai;Chapecoense;
Bahia;Vitoria;
Botafogo-RJ;Flamengo;
Botafogo-RJ;Fluminense;
Botafogo-RJ;Vasco;
Bragantino;Corinthians;
Bragantino;Palmeiras;
Bragantino;Santos;
Bragantino;Sao Paulo;
Bragantino;Ponte Preta;
Ceara;Fortaleza;
Chapecoense;Avai;
Chapecoense;Figueirense;
Chapecoense;Joinville;
Corinthians;Bragantino;
Corinthians;Palmeiras;
Corinthians;Santos;
Corinthians;Sao Paulo;
Corinthians;Ponte Preta;
Coritiba;Athletico-PR;
Coritiba;Parana;
Cruzeiro;Atletico-MG;
Cruzeiro;America-MG;
Figueirense;Joinville;
Figueirense;Chapecoense;
Figueirense;Avai;
Flamengo;Botafogo-RJ;
Flamengo;Flamengo;
Flamengo;Vasco;
Fluminense;Flamengo;
Fluminense;Botafogo-RJ;
Fluminense;Vasco;
Fortaleza;Ceara;
Goias;Atletico-GO;
Gremio;Internacional;
Gremio;Juventude;
Internacional;Gremio;
Internacional;Juventude;
Joinville;Chapecoense;
Joinville;Avai;
Joinville;Figueirense;
Juventude;Gremio;
Juventude;Internacional;
Palmeiras;Corinthians;
Palmeiras;Bragantino;
Palmeiras;Santos;
Palmeiras;Sao Paulo;
Palmeiras;Ponte Preta;
Parana;Coritiba;
Parana;Athletico-PR;
Ponte Preta;Bragantino;
Ponte Preta;Corinthians;
Ponte Preta;Palmeiras;
Ponte Preta;Santos;
Ponte Preta;Sao Paulo;
Santa Cruz;Sport;
Santos;Corinthians;
Santos;Bragantino;
Santos;Palmeiras;
Santos;Ponte Preta;
Santos;Sao Paulo;
Sao Paulo;Santos;
Sao Paulo;Corinthians;
Sao Paulo;Bragantino;
Sao Paulo;Palmeiras;
Sao Paulo;Ponte Preta;
Sport;Santa Cruz;
Vasco;Fluminense;
Vasco;Flamengo;
Vasco;Botafogo-RJ;
Vitoria;Bahia;
